YEAR,PERIOD,SEND DATE,ENTITY CODE,ENTITY,LINE CODE,INTERVENTION LINE,SERVICE CODE,SERVICE NAME,UBIGEO,DEPARTMENT,PROVINCE,DISTRICT,CARE CENTER CODE,CARE CENTER NAME,EMC NO.,N° CASES ATTENDED-TOTAL,N° CASES ATTENDED - MEN - TOTAL,N° CASES ATTENDED - WOMEN - TOTAL,N° CASES ATTENDED - PSYCHOLOGICAL VIOLENCE,N° CASES ATTENDED - PHYSICAL VIOLENCE,N° CASES ATTENDED - SEXUAL VIOLENCE,N° CASES ATTENDED - ECONOMIC OR PATRIMONIAL VIOLENCE,N° CASES ATTENDED - 0_5 - TOTAL,N° CASES ATTENDED - 0_5 - MEN,N° CASOS ATENDIDOS - 0_5 - MUJERES,N° CASES ATTENDED - 6_11 - TOTAL,N° CASES ATTENDED - 6_11 - MEN,N° CASES ATTENDED - 6_11 - WOMEN,N° CASES ATTENDED - 12_17 - TOTAL,N° CASES ATTENDED - 12_17 - MEN,N° CASES ATTENDED - 12_17 - WOMEN,N° CASES ATTENDED - 18_25 - TOTAL,N° CASES ATTENDED - 18_25 - MEN,N° CASES ATTENDED - 18_25 - WOMEN,N° CASES ATTENDED - 18_29 - TOTAL,N° CASES ATTENDED - 18_29 - MEN,N° CASES ATTENDED - 18_29 - WOMEN,N° CASES ATTENDED - 26_35 - TOTAL,N° CASES ATTENDED - 26_35 - MEN,N° CASES ATTENDED - 26_35 - WOMEN,N° CASES ATTENDED - 36_45 - TOTAL,N° CASES ATTENDED - 36_45 - MEN,N° CASES ATTENDED - 36_45 - WOMEN,N° CASES ATTENDED - 30_59 - TOTAL,N° CASES ATTENDED - 30_59 - MEN,N° CASES ATTENDED - 30_59 - WOMEN,N° CASES ATTENDED - 46_59 - TOTAL,N° CASES ATTENDED - 46_59 - MEN,N° CASES ATTENDED - 46_59 - WOMEN,N° CASES ATTENDED - 60_MORE - TOTAL,N° CASES ATTENDED - 60_MORE - MEN,N° CASES ATTENDED - 60_MORE - WOMEN,NUMBER OF ACTIVITIES - TOTAL
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,40201,AREQUIPA,CAMANÁ,CAMANÁ,CEM011,CAMANA,1,369,45,324,201,120,48,,19,,,58,,,44,,,62,,,,,,83,,,68,,,,,,29,,,6,,,"11,552"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,50201,AYACUCHO,CANGALLO,CANGALLO,CEM012,CANGALLO,1,156,13,143,133,14,9,,1,,,6,,,10,,,24,,,,,,54,,,26,,,,,,23,,,12,,,"5,521"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150507,LIMA PROVINCIAS,CAÑETE,IMPERIAL,CEM013,CAÑETE,1,439,85,354,290,89,60,,54,,,78,,,81,,,55,,,,,,87,,,63,,,,,,20,,,1,,,"7,704"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,CEM014,CARABAYLLO,1,267,13,254,87,110,70,,17,,,43,,,56,,,25,,,,,,55,,,43,,,,,,20,,,8,,,"5,634"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,40101,AREQUIPA,AREQUIPA,AREQUIPA,CEM015,AREQUIPA,1,459,24,435,266,146,47,,11,,,28,,,29,,,75,,,,,,129,,,97,,,,,,68,,,22,,,"4,719"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CEM016,CHACHAPOYAS,1,160,20,140,91,54,15,,4,,,21,,,23,,,21,,,,,,41,,,26,,,,,,20,,,4,,,"2,773"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,120301,JUNÍN,CHANCHAMAYO,CHANCHAMAYO,CEM017,CHANCHAMAYO,1,321,37,284,113,143,65,,25,,,48,,,53,,,35,,,,,,82,,,50,,,,,,24,,,4,,,"10,420"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,CEM018,CHICLAYO,1,208,12,196,150,50,8,,1,,,10,,,17,,,33,,,,,,57,,,61,,,,,,21,,,8,,,"5,657"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,120107,JUNÍN,HUANCAYO,CHILCA,CEM019,CHILCA,1,326,52,274,151,160,15,,20,,,57,,,44,,,44,,,,,,72,,,60,,,,,,26,,,3,,,"3,896"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,21801,ÁNCASH,SANTA,CHIMBOTE,CEM020,CHIMBOTE,1,249,24,225,181,50,18,,2,,,19,,,28,,,35,,,,,,60,,,50,,,,,,31,,,24,,,"4,081"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,30601,APURÍMAC,CHINCHEROS,CHINCHEROS,CEM021,CHINCHEROS,1,345,48,297,223,93,29,,5,,,33,,,24,,,52,,,,,,91,,,73,,,,,,44,,,23,,,"17,209"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,40501,AREQUIPA,CAYLLOMA,CHIVAY,CEM022,CHIVAY,1,120,16,104,62,50,8,,7,,,23,,,12,,,11,,,,,,17,,,27,,,,,,16,,,7,,,"4,115"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,130203,LA LIBERTAD,ASCOPE,CHOCOPE,CEM023,CHOCOPE,1,290,59,231,90,124,76,,23,,,75,,,72,,,31,,,,,,38,,,30,,,,,,15,,,6,,,"9,482"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,60401,CAJAMARCA,CHOTA,CHOTA,CEM024,CHOTA,1,138,14,124,47,70,21,,1,,,20,,,16,,,24,,,,,,28,,,32,,,,,,9,,,8,,,"4,111"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,200401,PIURA,MORROPÓN,CHULUCANAS,CEM025,CHULUCANAS,1,304,28,276,192,100,12,,4,,,12,,,24,,,68,,,,,,91,,,59,,,,,,37,,,9,,,"5,499"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,80701,CUSCO,CHUMBIVILCAS,SANTO TOMÁS,CEM026,CHUMBIVILCAS,1,315,30,285,173,114,28,,4,,,11,,,37,,,47,,,,,,76,,,82,,,,,,47,,,11,,,"3,573"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,30701,APURÍMAC,GRAU,CHUQUIBAMBILLA,CEM027,CHUQUIBAMBILLA,1,100,9,91,27,64,9,,1,,,10,,,14,,,17,,,,,,24,,,22,,,,,,7,,,5,,,"5,174"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,90501,HUANCAVELICA,CHURCAMPA,CHURCAMPA,CEM028,CHURCAMPA,1,121,24,97,75,22,24,,12,,,18,,,21,,,15,,,,,,21,,,13,,,,,,9,,,12,,,"10,396"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150110,LIMA METROPOLITANA,LIMA,COMAS,CEM029,COMAS,1,400,68,332,160,173,67,,21,,,67,,,84,,,44,,,,,,68,,,64,,,,,,31,,,21,,,"8,709"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,120201,JUNÍN,CONCEPCIÓN,CONCEPCIÓN,CEM030,CONCEPCION,1,141,10,131,49,82,10,,2,,,10,,,16,,,23,,,,,,29,,,37,,,,,,18,,,6,,,"4,046"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,80108,CUSCO,CUSCO,WANCHAQ,CEM031,CUSCO,1,"1,246",105,"1,141",524,627,95,,30,,,68,,,108,,,192,,,,,,338,,,304,,,,,,165,,,41,,,"16,372"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150111,LIMA METROPOLITANA,LIMA,EL AGUSTINO,CEM032,EL AGUSTINO,1,235,49,186,104,104,27,,41,,,43,,,27,,,24,,,,,,47,,,30,,,,,,14,,,9,,,"6,409"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,80801,CUSCO,ESPINAR,ESPINAR,CEM033,ESPINAR,1,269,22,247,113,137,19,,0,,,13,,,30,,,46,,,,,,79,,,60,,,,,,26,,,15,,,"4,059"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,140201,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,CEM034,FERREÑAFE,1,150,8,142,113,33,4,,3,,,11,,,11,,,30,,,,,,45,,,30,,,,,,16,,,4,,,"3,763"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,150801,LIMA PROVINCIAS,HUAURA,HUACHO,CEM035,HUACHO,1,376,42,334,294,64,18,,11,,,44,,,37,,,49,,,,,,107,,,71,,,,,,46,,,11,,,"8,209"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,130901,LA LIBERTAD,SÁNCHEZ CARRIÓN,HUAMACHUCO,CEM036,HUAMACHUCO,1,280,36,244,150,95,35,,14,,,29,,,57,,,48,,,,,,69,,,36,,,,,,19,,,8,,,"5,832"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,50301,AYACUCHO,HUANCA SANCOS,SANCOS,CEM037,HUANCASANCOS,1,74,12,62,33,33,8,,4,,,3,,,12,,,4,,,,,,17,,,19,,,,,,13,,,2,,,"3,517"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,CEM038,HUANCAVELICA,1,248,25,223,72,132,44,,13,,,16,,,40,,,44,,,,,,58,,,38,,,,,,26,,,13,,,"7,110"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,120101,JUNÍN,HUANCAYO,HUANCAYO,CEM039,HUANCAYO,1,"1,077",144,933,626,328,123,,53,,,145,,,141,,,140,,,,,,242,,,181,,,,,,111,,,64,,,"16,385"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,50401,AYACUCHO,HUANTA,HUANTA,CEM040,HUANTA,1,291,29,262,101,166,24,,5,,,17,,,25,,,51,,,,,,73,,,49,,,,,,49,,,22,,,"11,646"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,LIN001,ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA,SER001,CENTRO EMERGENCIA MUJER,100102,HUÁNUCO,HUÁNUCO,AMARILIS,CEM041,HUANUCO,1,329,30,299,166,105,58,,11,,,22,,,48,,,60,,,,,,86,,,49,,,,,,33,,,20,,,"6,995"
